FMID,Credit,WIC,WICcash,SFMNP,SNAP
1018261,Y,Y,N,Y,N
1018318,Y,N,N,Y,N
1009364,Y,N,N,N,N
1010691,Y,N,N,N,N
1002454,N,N,Y,Y,N
1011100,Y,N,N,N,Y
1009845,Y,Y,N,Y,Y
1005586,N,N,N,N,Y
1008071,Y,Y,Y,Y,Y
1012710,Y,Y,Y,Y,Y
1016782,Y,Y,Y,Y,Y
1003877,N,Y,Y,Y,N
1016784,Y,N,N,N,Y
1010968,Y,Y,N,Y,Y
1009994,Y,N,N,N,N
1018365,Y,Y,N,Y,Y
1012790,Y,N,N,N,N
1012158,Y,N,N,N,Y
1010873,Y,N,N,Y,N
1005309,Y,Y,N,Y,Y
1000709,Y,Y,Y,Y,Y
1011881,Y,N,N,N,N
1010966,Y,Y,N,Y,Y
1005299,Y,Y,N,Y,Y
1010994,Y,N,N,N,N
1009959,Y,N,Y,N,Y
1004950,Y,N,N,N,N
1010775,Y,N,N,N,N
1018656,Y,Y,Y,Y,N
1005636,Y,Y,Y,Y,Y
1005310,Y,Y,N,Y,Y
1018389,Y,N,Y,N,Y
1012280,Y,Y,Y,Y,N
1004414,N,N,N,Y,N
1011213,Y,Y,N,N,Y
1010965,Y,Y,N,Y,Y
1006234,N,N,N,N,N
1006494,N,N,N,N,N
1005304,Y,Y,N,Y,Y
1000060,Y,Y,Y,Y,Y
1005306,Y,Y,N,Y,Y
1018426,Y,Y,N,Y,Y
1012500,Y,Y,Y,Y,Y
1000061,Y,Y,Y,Y,Y
1000062,Y,Y,Y,Y,Y
1008391,Y,N,N,Y,N
1001961,Y,Y,N,Y,N
1000063,Y,Y,Y,Y,Y
1000064,Y,Y,Y,Y,Y
1011989,Y,N,N,Y,Y
1000986,Y,N,N,N,Y
1010617,Y,N,N,N,N
1001683,Y,N,N,N,N
1009004,Y,Y,N,Y,N
1001887,Y,N,N,N,N
1007585,N,N,N,N,N
1009028,Y,N,N,N,N
1004573,Y,N,N,Y,N
1004598,N,Y,N,Y,N
1003865,N,N,N,N,N
1002947,N,N,N,N,N
1004031,N,N,N,N,N
1010487,Y,N,N,Y,Y
1000065,Y,Y,Y,Y,Y
1006988,N,N,N,N,N
1007070,N,N,N,N,N
1011313,Y,Y,N,Y,Y
1004762,Y,Y,N,Y,Y
1009543,Y,N,N,N,N
1002108,N,N,N,N,N
1007575,N,N,N,N,N
1005122,N,N,N,N,N
1008461,N,N,N,N,N
1011180,Y,N,N,N,N
1003469,N,Y,N,Y,Y
1018003,Y,Y,N,Y,Y
1007519,N,N,N,N,N
1001393,N,N,N,N,N
1001083,Y,N,N,N,Y
1006969,N,N,N,N,N
1010467,N,N,N,N,N
1017937,Y,Y,Y,Y,Y
1011322,Y,Y,N,Y,Y
1010354,N,Y,N,Y,N
1018278,Y,Y,Y,Y,Y
1008961,Y,N,N,N,Y
1005109,N,N,N,N,N
1002464,N,N,N,N,N
1005741,N,N,N,N,N
1005272,N,N,N,N,N
1012288,Y,Y,N,Y,Y
1011214,Y,Y,N,N,Y
1008667,Y,Y,N,N,N
1007586,N,N,N,N,N
1012233,Y,Y,Y,Y,N
1003562,Y,N,N,N,N
1011830,Y,Y,Y,Y,Y
1000212,N,N,N,N,N
1008054,Y,N,N,N,N
1007542,N,N,N,N,N
1011967,Y,Y,Y,N,Y
1001801,N,N,N,N,N
1005061,N,N,N,N,N
1004086,Y,N,N,Y,N
1008612,Y,Y,N,Y,Y
1006312,N,N,N,N,N
1009019,Y,Y,N,N,N
1004846,N,N,N,Y,N
1018304,Y,N,N,N,N
1011033,Y,N,Y,Y,Y
1004789,N,N,N,N,N
1004070,Y,N,Y,Y,Y
1004425,Y,N,Y,N,N
1002175,Y,Y,Y,Y,Y
1011108,Y,Y,Y,Y,Y
1004886,N,N,N,N,N
1010559,Y,Y,N,Y,N
1010407,Y,Y,N,Y,Y
