FMID,Season1Date Start,Season1Date End,Season2Date Start,Season2Date End,Season3Date Start,Season3Date End,Season4Date Start,Season4Date End
1018261,06/14/2017,08/30/2017,09/06/2017,10/18/2017,,,,
1018318,06/24/2017,09/30/2017,,,,,,
1009364,,,,,,,,
1010691,04/02/2014,11/30/2014,,,,,,
1002454,July,November,,,,,,
1011100,05/05/2015,10/27/2015,,,,,,
1009845,06/10/2014,11/25/2014,,,,,,
1005586,05/16/2014,10/17/2014,,,,,,
1008071,05/03/2014,11/22/2014,,,,,,
1012710,04/09/2016,11/19/2016,,,,,,
1016782,06/29/2017,11/22/2017,,,,,,
1003877,June,September,,,,,,
1016784,06/08/2017,,,,,,,
1010968,06/01/2015,11/15/2015,,,,,,
1009994,06/07/2014,09/27/2014,,,,,,
1018365,05/20/2017,09/30/2017,,,,,,
1012790,09/03/2016,06/24/2017,09/02/2017,06/30/2018,,,,
1012158,01/01/2016,12/31/2016,,,,,,
1010873,06/05/2015,10/30/2015,,,,,,
1005309,06/01/2015,11/01/2015,,,,,,
1000709,06/25/2016,11/05/2016,,,,,,
1011881,05/07/2016,10/15/2016,,,,,,
1010966,06/01/2015,11/15/2015,,,,,,
1005299,06/01/2015,11/15/2015,,,,,,
1010994,05/05/2016,09/01/2016,,,,,,
1009959,01/01/2016,12/31/2016,,,,,,
1004950,05/10/2014,10/11/2014,11/14/2014,11/15/2014,,,,
1010775,01/18/2015,01/05/2020,,,,,,
1018656,06/11/2017,10/29/2017,,,,,,
1005636,01/01/2013,12/31/2013,,,,,,
1005310,06/01/2015,11/01/2015,,,,,,
1018389,06/01/2017,09/21/2017,,,,,,
1012280,06/09/2016,08/18/2016,,,,,,
1004414,June,September,,,,,,
1011213,,,,,,,,
1010965,06/01/2015,11/22/2015,,,,,,
1006234,,,,,,,,
1006494,,,,,,,,
1005304,06/01/2015,11/15/2015,,,,,,
1000060,04/20/2013,12/21/2013,,,,,,
1005306,06/01/2015,11/01/2015,,,,,,
1018426,05/13/2017,12/16/2017,,,,,,
1012500,10/02/2016,05/28/2017,,,,,,
1000061,01/01/2013,12/31/2013,,,,,,
1000062,01/01/2013,12/31/2013,,,,,,
1008391,06/06/2013,08/08/2013,,,,,,
1001961,May,October,,,,,,
1000063,06/23/2013,11/24/2013,,,,,,
1000064,01/01/2013,12/31/2013,,,,,,
1011989,05/10/2016,09/27/2016,,,,,,
1000986,05/12/2013,10/20/2013,06/26/2016,08/01/2016,,,,
1010617,,,,,,,,
1001683,January,December,,,,,,
1009004,01/01/2014,12/31/2014,,,,,,
1001887,05/06/2014,09/23/2014,,,,,,
1007585,,,,,,,,
1009028,06/06/2014,07/25/2014,,,,,,
1004573,06/06/2013,10/04/2013,,,,,,
1004598,May,October,,,,,,
1003865,,,,,,,,
1002947,,,,,,,,
1004031,,,,,,,,
1010487,04/16/2016,11/22/2016,11/26/2016,12/24/2016,01/02/2016,04/09/2016,,
1000065,01/01/2013,12/31/2013,,,,,,
1006988,07/13/2013,09/21/2013,,,,,,
1007070,,,,,,,,
1011313,01/01/2016,12/01/2016,,,,,,
1004762,10/25/2014,,,,,,,
1009543,,,,,,,,
1002108,,,,,,,,
1007575,,,,,,,,
1005122,,,,,,,,
1008461,,,,,,,,
1011180,05/31/2015,05/29/2016,06/07/2015,,,,,
1003469,19-Jun-12,21-Oct-12,,,,,,
1018003,06/03/2017,09/30/2017,,,,,,
1007519,,,,,,,,
1001393,04/01/2010,11/31/2010,,,,,,
1001083,06/09/2015,10/27/2015,,,,,,
1006969,,,,,,,,
1010467,06/07/2014,09/27/2014,,,,,,
1017937,,,,,,,,
1011322,05/19/2016,,,,,,,
1010354,07/13/2014,09/14/2014,,,,,,
1018278,,,,,,,,
1008961,01/01/2013,12/31/2013,,,,,,
1005109,,,,,,,,
1002464,,,,,,,,
1005741,,,,,,,,
1005272,,,,,,,,
1012288,05/07/2016,10/29/2016,,,,,,
1011214,,,,,,,,
1008667,01/01/2013,12/31/2013,,,,,,
1007586,,,,,,,,
1012233,05/02/2016,10/01/2016,,,,,,
1003562,01/01/2015,12/31/2015,,,,,,
1011830,,,06/05/2016,09/25/2016,,,,
1000212,,,,,,,,
1008054,01/01/2015,12/31/2015,,,,,,
1007542,,,,,,,,
1011967,03/15/2016,07/31/2016,09/29/2016,11/06/2016,01/01/2016,12/31/2016,,
1001801,,,,,,,,
1005061,,,,,,,,
1004086,10/04/2014,07/25/2015,,,,,,
1008612,01/01/2013,12/31/2013,,,,,,
1006312,,,,,,,,
1009019,01/01/2013,12/31/2013,,,,,,
1004846,05/21/2013,,,,,,,
1018304,01/01/2017,12/31/2017,,,,,,
1011033,06/03/2017,10/28/2017,07/05/2017,10/25/2017,,,,
1004789,01/04/2014,12/20/2014,,,,,,
1004070,07/11/2015,10/10/2015,,,,,,
1004425,May,December,,,,,,
1002175,04/16/2016,11/19/2016,,,,,,
1011108,05/13/2015,10/31/2015,,,,,,
1004886,,,,,,,,
1010559,05/03/2014,10/25/2014,,,,,,
1010407,05/17/2014,11/08/2014,,,,,,
1004761,06/03/2014,09/30/2014,,,,,,
1007016,,,,,,,,
1002222,June,September,April,May,October,November,,
1008252,,,,,,,,
1003236,,,,,,,,
1011910,04/18/2016,,,,,,,
1010597,06/14/2014,09/13/2014,,,,,,
1000519,05/23/2014,09/19/2014,,,,,,
1018643,01/01/2017,12/31/2017,,,,,,
1007366,05/10/2014,10/25/2014,06/01/2014,10/28/2014,06/01/2014,10/30/2014,,
1011196,07/10/2016,10/30/2016,,,,,,
1007217,,,,,,,,
1001300,,,,,,,,
1007528,,,,,,,,
1008835,06/28/2016,10/11/2016,,,,,,
1005548,11/01/2016,04/01/2017,,,,,,
1011735,10/01/2016,07/01/2017,,,,,,
1010096,05/04/2014,10/26/2014,,,,,,
1000268,,,,,,,,
1000168,,,,,,,,
1001962,06/06/2016,10/03/2016,,,,,,
1002717,05/05/2016,10/27/2016,,,,,,
1008262,05/11/2013,10/12/2013,,,,,,
1018160,,,,,,,,
1018165,05/20/2017,09/30/2017,,,,,,
1018105,04/13/2017,10/26/2017,,,,,,
1011777,10/26/2016,05/10/2017,05/17/2017,10/25/2017,,,,
1007413,,,,,,,,
1007716,,,,,,,,
1007083,,,,,,,,
1002964,,,,,,,,
1005675,06/15/2013,10/12/2013,,,,,,
1006739,,,,,,,,
1002683,06/01/2012,10/31/2012,,,,,,
1005134,05/18/2013,10/26/2013,,,,,,
1006816,,,,,,,,
1002250,05/04/2013,10/31/2013,,,,,,
1007836,,,,,,,,
1012389,05/05/2016,09/29/2016,,,,,,
1010476,01/01/2014,12/31/2014,,,,,,
1005447,06/19/2013,09/28/2013,,,,,,
1009792,06/10/2014,10/14/2014,,,,,,
1009998,01/08/2014,03/05/2014,03/12/2014,11/05/2014,11/12/2014,12/31/2014,,
1004383,07/01/2011,09/31/2011,,,,,,
1000357,,,,,,,,
1006749,06/07/2014,10/18/2014,,,,,,
1004154,,,,,,,,
1001100,June,October,,,,,,
1011421,01/01/2015,12/31/2015,,,,,,
1001733,,,,,,,,
1005644,06/07/2015,10/01/2015,,,,,,
1005645,06/03/2015,10/01/2015,,,,,,
1005646,06/13/2015,10/01/2015,,,,,,
1001826,,,,,,,,
1008321,04/01/2014,09/30/2014,,,,,,
1008399,01/01/2013,12/31/2013,,,,,,
1006373,,,,,,,,
1001367,,,,,,,,
1005946,,,,,,,,
1005188,June,October,,,,,,
1011171,05/02/2015,10/31/2015,,,,,,
1000284,04/18/2015,11/21/2015,,,,,,
1006748,05/07/2014,10/15/2014,,,,,,
1009833,12/06/2014,03/28/2015,,,,,,
1001135,07/12/2013,09/20/2013,,,,,,
1010105,05/04/2014,08/30/2015,,,,,,
1016853,05/27/2017,,,,,,,
1012157,07/12/2016,09/13/2016,,,,,,
1005944,05/07/2016,10/29/2016,11/19/2016,11/20/2016,01/09/2016,04/09/2016,,
1001105,07/07/2014,09/08/2014,,,,,,
1003055,,,,,,,,
1007258,05/03/2014,10/11/2014,,,,,,
1002640,May,September,,,,,,
1016848,05/06/2017,10/28/2017,,,,,,
1008251,05/03/2014,05/31/2014,06/03/2014,,11/29/2014,12/20/2014,,
1008727,04/18/2014,10/26/2014,,,,,,
1000971,,,,,,,,
1004991,04/09/2016,11/19/2016,,,,,,
1002089,,,,,,,,
1003516,05/20/2015,09/02/2015,09/09/2015,10/14/2015,,,,
1007647,01-May-12,30-Oct-12,,,,,,
1012040,06/18/2016,10/08/2016,,,,,,
1000287,,,,,,,,
1006378,06/11/2016,09/24/2016,,,,,,
1010280,01/01/2014,12/31/2014,,,,,,
1006268,June,October,,,,,,
1010223,01/01/2014,12/31/2014,06/01/2014,10/01/2014,05/01/2014,12/01/2014,,
1010380,06/23/2015,09/22/2015,,,,,,
1001782,,,,,,,,
1012588,,,,,,,,
1001142,04/02/2016,12/24/2016,01/01/2016,12/18/2016,,,,
1004881,,,,,,,,
1001465,July,October,,,,,,
1007646,July,October,June,June,,,,
1007636,,,,,,,,
1000306,May,August,,,,,,
1000405,June,November,,,,,,
1011248,05/30/2015,11/28/2015,,,,,,
1012651,10/02/2016,05/28/2017,,,,,,
1000434,06/01/2013,10/01/2013,,,,,,
1004557,06/06/2015,10/03/2015,,,,,,
1011109,04/18/2015,10/17/2015,,,,,,
1011158,05/18/2016,10/12/2016,,,,,,
1005207,June,October,May,May,,,,
1000683,June,September,,,,,,
1000685,January,December,,,,,,
1006889,,,,,,,,
1018356,06/14/2017,08/30/2017,09/06/2017,10/11/2017,,,,
1000431,06/18/2016,10/29/2016,,,,,,
1009687,01/01/2014,12/31/2014,,,,,,
1001738,01/01/2015,12/31/2015,,,,,,
1010986,05/20/2015,10/28/2015,,,,,,
1008482,,,,,,,,
1001764,June,October,,,,,,
1000558,05/25/2013,10/26/2013,,,,,,
1012474,06/03/2016,10/28/2016,,,,,,
1012410,05/04/2016,11/30/2016,,,,,,
1012375,05/31/2016,10/25/2016,,,,,,
1012453,06/02/2016,10/27/2016,,,,,,
1012422,05/05/2016,11/17/2016,,,,,,
1012455,05/06/2016,11/25/2016,,,,,,
1012477,05/06/2016,11/25/2016,,,,,,
1012413,06/01/2016,10/26/2016,,,,,,
1012419,05/04/2016,11/30/2016,,,,,,
1012454,05/05/2016,11/17/2016,,,,,,
1012374,05/03/2016,11/29/2016,,,,,,
1012427,06/02/2016,10/27/2016,,,,,,
1012377,06/01/2016,10/26/2016,,,,,,
1002085,01/01/2014,12/31/2014,,,,,,
1018326,04/30/2017,11/05/2017,,,,,,
1007662,,,,,,,,
1002798,June,October,,,,,,
1010882,01/01/2015,12/31/2015,,,,,,
1002314,,,,,,,,
1005928,,,,,,,,
1005927,,,,,,,,
1002621,,,,,,,,
1002622,,,,,,,,
1002620,,,,,,,,
1001018,01/01/2015,12/31/2015,,,,,,
1017963,06/01/2017,09/28/2017,,,,,,
1008236,06/02/2016,10/27/2016,,,,,,
1009968,06/11/2014,10/29/2014,,,,,,
1018253,04/15/2017,12/30/2017,01/06/2018,04/14/2018,,,,
1018561,07/01/2017,09/09/2017,,,,,,
1003571,,,,,,,,
1010945,04/29/2015,10/21/2015,,,,,,
1011958,06/04/2016,10/29/2016,,,,,,
1011122,05/09/2015,10/31/2015,,,,,,
1012822,05/25/2017,10/26/2017,,,,,,
1001991,05/07/2016,10/15/2016,,,,,,
1000294,,,,,,,,
1001892,,,,,,,,
1001893,,,,,,,,
1006270,,,,,,,,
1008855,06/15/2014,09/21/2014,,,,,,
1010575,01/01/2014,12/31/2014,01/01/2015,12/31/2015,,,,
1008534,06/06/2013,09/26/2013,,,,,,
1007842,,,,,,,,
1005081,06/02/2013,09/29/2013,,,,,,
1009285,,,,,,,,
1009272,,,,,,,,
