FMID,Season1Time 1,Season1Time 2,Season1Time 3,Season1Time 4,Season1Time 5,Season1Time 6,Season1Time 7,Season1Time 8,Season2Time 1,Season2Time 2,Season2Time 3,Season2Time 4,Season2Time 5,Season2Time 6,Season2Time 7,Season2Time 8,Season3Time 1,Season3Time 2,Season3Time 3,Season3Time 4,Season3Time 5,Season3Time 6,Season3Time 7,Season4Time 1,Season4Time 2,Season4Time 3
1018261,Wed: 9:00 AM-1:00 PM,,,,,,,,Wed: 2:00 PM-6:00 PM,,,,,,,,,,,,,,,,,
1018318,Sat: 9:00 AM-1:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,
1009364,,,,,,,,,,,,,,,,,,,,,,,,,,
1010691,Wed: 3:00 PM-6:00 PM,Sat: 8:00 AM-1:00 PM,,,,,,,,,,,,,,,,,,,,,,,,
1002454,Tue:8:00 am - 5:00 pm,Sat:8:00 am - 8:00 pm,,,,,,,,,,,,,,,,,,,,,,,,
1011100,Tue: 3:30 PM-6:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,
1009845,Tue: 10:00 AM-7:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,
1005586,Fri: 8:00 AM-11:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
1008071,Sat: 9:00 AM-1:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,
1012710,Sat: 9:00 AM-1:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,
1016782,Tue: 8:00 AM-6:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,
1003877,Wed:3:00 pm - 7:00 pm,,,,,,,,,,,,,,,,,,,,,,,,,
1016784,Thu: 3:00 PM-6:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,
1010968,Thu: 3:00 PM-7:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,
1009994,Sat: 8:00 AM-11:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
1018365,Sat: 8:00 AM-12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,
1012790,Sat: 8:30 AM-1:00 PM,,,,,,,,Sat: 8:30 AM-1:00 PM,,,,,,,,,,,,,,,,,
1012158,Wed: 11:00 AM-6:00 PM,Thu: 11:00 AM-6:00 PM,Fri: 11:00 AM-6:00 PM,Sat: 11:00 AM-6:00 PM,,,,,,,,,,,,,,,,,,,,,,
1010873,Fri: 7:30 AM-12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,
1005309,Tue: 2:00 PM-6:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,
1000709,Sat: 8:30 AM-2:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,
1011881,Sun: 9:00 AM-1:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,
1010966,Wed: 1:00 PM-5:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,
1005299,Tue: 2:00 PM-6:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,
1010994,Thu: 3:30 PM-6:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,
1009959,Thu: 11:00 AM-3:00 PM,Fri: 11:00 AM-3:00 PM,Sat: 8:00 AM-3:00 PM,,,,,,,,,,,,,,,,,,,,,,,
1004950,Sat: 8:00 AM-2:00 PM,,,,,,,,Fri: 4:30 PM-10:00 PM,Sat: 9:00 AM-3:00 PM,,,,,,,,,,,,,,,,
